Date,Open,High,Low,Close,Adj Close,Volume,RSI
2023-08-19,0.506128,0.523208,0.501976,0.519629,0.519629,1038954380,
2023-08-20,0.519639,0.552959,0.517329,0.539547,0.539547,1471670949,
2023-08-21,0.539548,0.539782,0.510049,0.524538,0.524538,1445315789,
2023-08-22,0.524536,0.524818,0.506343,0.52093,0.52093,1227160129,
2023-08-23,0.520919,0.534771,0.516436,0.529902,0.529902,1007927236,
2023-08-24,0.529913,0.531384,0.513305,0.518413,0.518413,881617931,
2023-08-25,0.518458,0.529774,0.508743,0.526246,0.526246,1067427241,
2023-08-26,0.526218,0.526865,0.519306,0.52347,0.52347,541153725,
2023-08-27,0.523484,0.529602,0.521516,0.523844,0.523844,584757090,
2023-08-28,0.52384,0.524353,0.512673,0.523248,0.523248,842593344,
2023-08-29,0.523252,0.546576,0.513771,0.540065,0.540065,1468584828,
2023-08-30,0.540045,0.540165,0.523152,0.528194,0.528194,967541032,
2023-08-31,0.528195,0.528462,0.50508,0.510799,0.510799,1074749312,
2023-09-01,0.510788,0.511623,0.488601,0.498075,0.498075,1097204087,41.670402374364265
2023-09-02,0.49806,0.50211,0.495362,0.499091,0.499091,661651382,42.12487921593889
2023-09-03,0.499108,0.509186,0.497839,0.505049,0.505049,622598422,35.18610762809388
2023-09-04,0.505049,0.512068,0.498993,0.508375,0.508375,843268290,42.285332442365544
2023-09-05,0.508397,0.508397,0.500123,0.505411,0.505411,750823613,42.546897061789835
2023-09-06,0.505431,0.505455,0.493811,0.503243,0.503243,773743079,36.30160214578601
2023-09-07,0.503237,0.506091,0.497338,0.504857,0.504857,699614463,42.24768963308627
2023-09-08,0.504865,0.506718,0.497029,0.50485,0.50485,709453301,36.5613144737834
2023-09-09,0.504859,0.504859,0.502028,0.503855,0.503855,359744792,37.39800835207198
2023-09-10,0.503858,0.503883,0.495419,0.497814,0.497814,506251985,34.4116801609735
2023-09-11,0.497786,0.498015,0.467079,0.474374,0.474374,1280910602,27.019071622028278
2023-09-12,0.474389,0.48483,0.470752,0.480738,0.480738,1026076357,19.06281614050458
2023-09-13,0.480757,0.486787,0.474934,0.483775,0.483775,899389429,24.486208916816963
2023-09-14,0.483767,0.493115,0.480651,0.489457,0.489457,783751989,35.835457151959204
2023-09-15,0.489468,0.505074,0.488977,0.500875,0.500875,951792585,51.89112521950559
2023-09-16,0.500849,0.503168,0.498845,0.49988,0.49988,517370943,50.53304327852017
2023-09-17,0.499907,0.500372,0.492022,0.493041,0.493041,500486648,41.98290826545602
2023-09-18,0.493029,0.506632,0.489547,0.503203,0.503203,955363038,46.8357682989501
2023-09-19,0.503187,0.515975,0.501837,0.514151,0.514151,981191150,54.871251811392256
2023-09-20,0.514133,0.524266,0.510391,0.521355,0.521355,1081193591,59.55818715301967
2023-09-21,0.521358,0.521358,0.502023,0.507179,0.507179,1120291947,51.081932381555916
2023-09-22,0.507194,0.516181,0.505609,0.51251,0.51251,712954688,53.4004545777399
2023-09-23,0.512498,0.513519,0.506886,0.508034,0.508034,382427235,51.79954010317533
2023-09-24,0.508016,0.511317,0.501433,0.502388,0.502388,404611925,51.97635631448867
2023-09-25,0.502387,0.506469,0.492583,0.505461,0.505461,852958013,66.30134974987155
2023-09-26,0.505455,0.506655,0.498804,0.501708,0.501708,782380755,61.30580116454607
2023-09-27,0.501704,0.506476,0.497374,0.499597,0.499597,748882159,58.61633302110789
2023-09-28,0.49959,0.509525,0.495606,0.509525,0.509525,786510398,60.44555486154487
2023-09-29,0.509537,0.545457,0.506817,0.521719,0.521719,1721538761,60.7625263331819
2023-09-30,0.521689,0.521689,0.515207,0.515405,0.515405,544604664,57.59874700210464
2023-10-01,0.515368,0.52522,0.514943,0.524204,0.524204,549430554,64.9656629688325
2023-10-02,0.524204,0.525543,0.51099,0.512832,0.512832,946645872,54.57108948492759
2023-10-03,0.512812,0.544901,0.507465,0.538387,0.538387,1206543606,60.10405896674777
2023-10-04,0.538404,0.541013,0.523262,0.532931,0.532931,1467518350,54.89744804711299
2023-10-05,0.532957,0.532957,0.518828,0.523366,0.523366,823945282,57.12625359900677
2023-10-06,0.523354,0.529079,0.518494,0.526193,0.526193,684500790,56.15968452043323
2023-10-07,0.52619,0.52619,0.520833,0.521906,0.521906,321512118,56.25541125541124
2023-10-08,0.521879,0.52354,0.517264,0.517961,0.517961,356449311,57.13186601819032
2023-10-09,0.517973,0.519767,0.495291,0.503227,0.503227,989847649,49.07563720622308
2023-10-10,0.503256,0.503256,0.493297,0.497436,0.497436,670612869,48.26169045720143
2023-10-11,0.497379,0.497791,0.48086,0.488838,0.488838,794253917,45.84161094577358
2023-10-12,0.488798,0.488857,0.475637,0.48305,0.48305,812745907,39.42902775004991
2023-10-13,0.483049,0.489789,0.479341,0.485699,0.485699,696915013,34.43118948824342
2023-10-14,0.48569,0.48798,0.483974,0.486775,0.486775,357321203,37.03844551891492
2023-10-15,0.486773,0.489992,0.485665,0.487846,0.487846,385469444,32.30134158926731
2023-10-16,0.487838,0.505458,0.486157,0.497977,0.497977,1082594336,42.68031890256523
2023-10-17,0.497982,0.498138,0.488605,0.491694,0.491694,773438395,21.598277393219107
2023-10-18,0.491704,0.492205,0.487422,0.488319,0.488319,734621817,22.159261108337517
2023-10-19,0.488312,0.522496,0.478668,0.520127,0.520127,1385006018,48.417885368736755
2023-10-20,0.520078,0.529103,0.510005,0.516004,0.516004,1369774008,45.085327853828424
2023-10-21,0.51599,0.529482,0.512329,0.521243,0.521243,656496071,49.683111718652924
2023-10-22,0.521198,0.523849,0.516001,0.522487,0.522487,556378450,52.2205867922677
2023-10-23,0.523598,0.550538,0.521826,0.54687,0.54687,1699115599,69.56050161797793
2023-10-24,0.546893,0.582973,0.537455,0.558532,0.558532,2705905445,76.01379545261008
2023-10-25,0.55862,0.562377,0.542238,0.555306,0.555306,1396455738,79.65785575327058
2023-10-26,0.555353,0.566775,0.544552,0.553683,0.553683,1401251370,82.73289277339589
2023-10-27,0.553685,0.557566,0.539478,0.546107,0.546107,1048891335,76.77184896294983
2023-10-28,0.545715,0.550047,0.541652,0.545391,0.545391,566792583,76.06082162546679
2023-10-29,0.545372,0.560906,0.542186,0.556394,0.556394,655356620,78.00346427871101
2023-10-30,0.55639,0.583205,0.550598,0.578944,0.578944,1527609944,80.02981952511291
2023-10-31,0.578928,0.612737,0.566493,0.600282,0.600282,2218043567,86.22836400517792
2023-11-01,0.600295,0.615906,0.582262,0.609538,0.609538,1779920317,88.91535631504938
2023-11-02,0.609544,0.624106,0.59323,0.606439,0.606439,1826715430,83.9709378296257
2023-11-03,0.606386,0.615238,0.593919,0.613002,0.613002,1403532406,87.45732865815035
2023-11-04,0.61304,0.618021,0.610138,0.616184,0.616184,811373229,87.25484810196113
2023-11-05,0.61618,0.661147,0.615291,0.661147,0.661147,1923304412,90.51069299988308
2023-11-06,0.661127,0.729872,0.660661,0.715517,0.715517,3293503683,91.92549980857859
2023-11-07,0.715505,0.715505,0.657659,0.686402,0.686402,2813667010,79.25016012443952
2023-11-08,0.68632,0.696896,0.674029,0.688076,0.688076,1770450557,80.58821903164566
2023-11-09,0.688031,0.704313,0.646319,0.667475,0.667475,3292007279,74.10786166453393
2023-11-10,0.667603,0.670539,0.643111,0.660575,0.660575,2009821437,74.32074108698421
2023-11-11,0.66056,0.680741,0.644316,0.662735,0.662735,1754960201,74.77974777636057
2023-11-12,0.662748,0.670453,0.650388,0.661536,0.661536,988542527,73.16209190641933
2023-11-13,0.661598,0.740569,0.645188,0.671524,0.671524,3089036403,71.58967948957128
2023-11-14,0.671494,0.671494,0.607617,0.629673,0.629673,2298949026,56.255507170495626
2023-11-15,0.629726,0.650154,0.626564,0.649648,0.649648,1441133011,58.16438690766976
2023-11-16,0.649609,0.652059,0.607417,0.612168,0.612168,1756409884,51.0229589923613
2023-11-17,0.612199,0.62384,0.589987,0.613717,0.613717,1462505199,50.12999669099331
2023-11-18,0.613738,0.614488,0.593317,0.611189,0.611189,836754904,49.089676438748626
2023-11-19,0.611187,0.62872,0.603043,0.627499,0.627499,960738459,43.15262515262515
2023-11-20,0.62742,0.627888,0.612231,0.612842,0.612842,1151372006,25.077310704073554
2023-11-21,0.612834,0.61782,0.579289,0.580462,0.580462,1664786743,24.68602450633685
2023-11-22,0.580443,0.615112,0.579437,0.611899,0.611899,1332443782,34.06438926427208
2023-11-23,0.61186,0.622757,0.607326,0.620242,0.620242,1233580691,39.5851065237236
2023-11-24,0.62025,0.625278,0.617526,0.621881,0.621881,1220784875,41.26530501679487
2023-11-25,0.621858,0.623475,0.616927,0.623444,0.623444,604505841,41.106569065500516
2023-11-26,0.623452,0.635594,0.612424,0.616819,0.616819,1126158902,40.121064840384385
2023-11-27,0.616747,0.616956,0.596738,0.604153,0.604153,1209304147,35.290367375099876
2023-11-28,0.60414,0.613966,0.597534,0.611422,0.611422,1079777511,45.30631979055759
2023-11-29,0.61141,0.61651,0.605113,0.609358,0.609358,1007163957,38.587048892414
2023-11-30,0.609355,0.609632,0.599816,0.606358,0.606358,980182657,47.95465746673234
2023-12-01,0.60635,0.613993,0.604386,0.612915,0.612915,919121548,49.727281383043845
2023-12-02,0.612914,0.622459,0.611746,0.620976,0.620976,667809511,53.20735919670185
2023-12-03,0.620998,0.632913,0.6181,0.623723,0.623723,993447972,48.64180478821362
2023-12-04,0.623676,0.641088,0.608,0.624374,0.624374,1947607222,54.612726196380855
2023-12-05,0.624396,0.628373,0.60937,0.621997,0.621997,1452525777,71.86075642901505
2023-12-06,0.621962,0.642164,0.615684,0.640333,0.640333,2038373923,67.35939827590421
2023-12-07,0.640487,0.653058,0.62613,0.643632,0.643632,1839789008,65.21716501418275
2023-12-08,0.643668,0.674207,0.64004,0.673138,0.673138,1892803940,74.47312382425685
2023-12-09,0.673131,0.698838,0.657844,0.658814,0.658814,2229504514,65.05336987793876
2023-12-10,0.658858,0.670315,0.649806,0.661578,0.661578,1170952363,69.69662298342736
2023-12-11,0.661633,0.662751,0.605097,0.620211,0.620211,2252797875,55.6414328072961
2023-12-12,0.619962,0.625721,0.608254,0.619549,0.619549,1458882180,52.99414213609401
2023-12-13,0.619508,0.633426,0.598793,0.628486,0.628486,1557123843,56.70743681095185
2023-12-14,0.628413,0.637506,0.617451,0.632432,0.632432,1428433767,59.082865383811516
2023-12-15,0.632436,0.641949,0.615082,0.615492,0.615492,1392239590,50.83713949726152
2023-12-16,0.615517,0.625211,0.612011,0.619835,0.619835,770529288,49.62017057370557
2023-12-17,0.619827,0.621892,0.609635,0.610418,0.610418,832504145,45.75920035188596
2023-12-18,0.610362,0.613666,0.583383,0.61253,0.61253,1674969771,46.25971073075223
2023-12-19,0.612508,0.615832,0.598158,0.605456,0.605456,1137147807,44.926913946769545
2023-12-20,0.605408,0.625357,0.602385,0.617319,0.617319,1344408213,42.649820509217236
2023-12-21,0.617333,0.624502,0.611621,0.62391,0.62391,1149787445,43.83093727712923
2023-12-22,0.623909,0.627673,0.616836,0.625402,0.625402,1374123624,31.89513926815947
2023-12-23,0.625373,0.625373,0.613,0.620205,0.620205,774484009,34.26755225948412
2023-12-24,0.620213,0.628413,0.60856,0.613518,0.613518,1178583398,31.02315443661749
2023-12-25,0.613503,0.646985,0.610258,0.646337,0.646337,1781837085,61.06283875338758
2023-12-26,0.646349,0.646482,0.608387,0.622369,0.622369,1622454757,50.99726988527857
2023-12-27,0.622397,0.641538,0.614219,0.634856,0.634856,1432931897,52.19752166473477
2023-12-28,0.634948,0.655769,0.627557,0.634998,0.634998,1864381371,50.90907802624492
2023-12-29,0.635011,0.636595,0.61519,0.623402,0.623402,1324305215,52.9126285091466
2023-12-30,0.623411,0.629479,0.617195,0.621844,0.621844,718565033,50.7552461222679
2023-12-31,0.621792,0.627576,0.611208,0.614941,0.614941,710033547,51.733096276314456
2024-01-01,0.615656,0.631275,0.609636,0.630082,0.630082,729315153,56.114912415167424
2024-01-02,0.630094,0.638627,0.623182,0.625363,0.625363,1326197378,57.05106862279774
2024-01-03,0.625381,0.63777,0.538766,0.58258,0.58258,3406740412,39.90632427375165
2024-01-04,0.582577,0.593941,0.572955,0.588226,0.588226,1452005657,39.574495436431455
2024-01-05,0.588197,0.589413,0.558444,0.576486,0.576486,1509144162,36.516048647635465
2024-01-06,0.576512,0.576512,0.559386,0.568512,0.568512,820534691,35.96542193600237
2024-01-07,0.568521,0.572776,0.548477,0.551741,0.551741,901525412,34.098338713081816
2024-01-08,0.551716,0.581595,0.550675,0.577923,0.577923,2011066819,31.766963381482853
2024-01-09,0.577964,0.57851,0.557197,0.566633,0.566633,1740178857,34.069238332609274
2024-01-10,0.566672,0.612517,0.552117,0.599989,0.599989,2223452643,41.096317179176815
2024-01-11,0.60017,0.62234,0.587844,0.602095,0.602095,2112917472,41.681288397845954
2024-01-12,0.602096,0.603206,0.561413,0.570299,0.570299,1716194372,37.81845709173491
2024-01-13,0.570171,0.577452,0.565227,0.575078,0.575078,718059698,39.428354416644815
2024-01-14,0.575071,0.592092,0.572338,0.576233,0.576233,841667731,41.016440924999316
2024-01-15,0.576155,0.58846,0.569582,0.57592,0.57592,993534380,36.50067294751008
2024-01-16,0.575867,0.579641,0.567648,0.575947,0.575947,924543394,37.38860135362753
2024-01-17,0.575903,0.576063,0.563292,0.567973,0.567973,901923640,45.46673370202781
2024-01-18,0.567981,0.568357,0.546129,0.551907,0.551907,1057710374,39.41316045683237
2024-01-19,0.55187,0.552995,0.523937,0.544256,0.544256,1330077736,40.37565695174388
2024-01-20,0.544244,0.554386,0.539338,0.553126,0.553126,725888847,45.42997338656021
2024-01-21,0.553145,0.55477,0.546111,0.546111,0.546111,494271879,48.22487072770841
2024-01-22,0.546216,0.548638,0.521917,0.526716,0.526716,1151736625,33.13262139887874
2024-01-23,0.526726,0.531025,0.497545,0.517737,0.517737,1414753278,33.64485356096385
2024-01-24,0.517753,0.518867,0.511177,0.517988,0.517988,880367820,14.769241344939346
2024-01-25,0.517982,0.517982,0.50437,0.513606,0.513606,825132968,12.711014470767722
2024-01-26,0.513582,0.535225,0.508955,0.532189,0.532189,1021918092,31.928110773899874
2024-01-27,0.53219,0.534319,0.52708,0.53026,0.53026,471931644,28.156740423043203
2024-01-28,0.530275,0.535054,0.52183,0.524094,0.524094,523517403,25.77206531537813
2024-01-29,0.524088,0.539577,0.520635,0.53509,0.53509,901992026,32.74069189408543
2024-01-30,0.535133,0.538704,0.508638,0.510698,0.510698,1673319214,27.129527721890824
2024-01-31,0.510681,0.513754,0.494542,0.503193,0.503193,1339066820,27.219018146012132
2024-02-01,0.503176,0.510099,0.490347,0.505859,0.505859,1004296109,32.121447429725094
2024-02-02,0.50586,0.513274,0.499173,0.510412,0.510412,927836205,36.5358603459525
2024-02-03,0.510398,0.52574,0.506031,0.518939,0.518939,861729960,36.36218575223995
2024-02-04,0.518884,0.518971,0.502103,0.503288,0.503288,538479551,34.01828699384214
2024-02-05,0.503244,0.51289,0.498233,0.506244,0.506244,831962506,41.29117887285602
2024-02-06,0.506237,0.510443,0.49891,0.505153,0.505153,767495086,44.26163723916533
2024-02-07,0.505142,0.514524,0.499443,0.513789,0.513789,895523747,48.22126015605808
2024-02-08,0.51378,0.51848,0.510284,0.514529,0.514529,902244431,50.403440830135246
2024-02-09,0.514516,0.528078,0.514202,0.526031,0.526031,1032596975,47.130742708042135
2024-02-10,0.526032,0.528188,0.51945,0.524112,0.524112,578419105,47.13513513513517
2024-02-11,0.524093,0.535335,0.522091,0.526084,0.526084,715511550,50.96502628363045
2024-02-12,0.526102,0.536981,0.514893,0.531897,0.531897,1028191903,48.36963736813619
2024-02-13,0.531887,0.533538,0.516313,0.524835,0.524835,1023754839,58.77061283238
2024-02-14,0.524818,0.541882,0.520974,0.538401,0.538401,1156449389,70.31527684815471
2024-02-15,0.538396,0.573848,0.538396,0.562755,0.562755,1877470522,76.25759170035627
2024-02-16,0.562781,0.57846,0.555235,0.56496,0.56496,1505352932,75.73164518746343
2024-02-17,0.56496,0.565612,0.541114,0.549886,0.549886,911234746,63.74921139851251
2024-02-18,0.549885,0.562196,0.547986,0.556903,0.556903,689299497,75.79951302607141
